32,Target,1,527 Third Ave. #110,"New York, NY  10016"
88,RespondDays,10,350 Third Ave. #717,"New York, NY  10010"
92,Calibrate,1,527 Third Ave. #110,"New York, NY 10016"
310,ComfortCrowd,27,"1202 Lexington Avenue, #214","New York, NY 10025-1425"
322,VarietyPower,5,"954 Third Avenue, Ste #716","New York, NY 10022"
387,Oceanic,39,"1202 Lexington Avenue, Suite 214","New York, NY 10025"
550,ConnectWizard,46,"954 Lexington Ave, #117","New York, NY 10021"
655,PartnerAdvertising,16,"1562 First Avenue, PMB 309","New York, NY 10028"
656,NetworkEpic,44,954 Third Ave. Ste. #716,"New York, NY 10022"
658,SolutionSilver,61,1710 First Ave. #105,"New York, NY 10128"
689,HelpStrategy,1,527 Third Ave. #110,"New York, NY 10016"
707,BlazeCampaign,29,"101 W. 23rd Street, #399","New York, NY 10011"
711,DomainMassive,44,"101 W. 23rd Street, #399","New York, NY 10011"
760,PioneerEmail,6,1562 First Ave. PMB 309,"New York, NY 10028"
822,BlazeAccess,29,"101 W. 23rd Street, #399","New York, NY 10011"
823,BlazeService,29,"101 W. 23rd Street, #399","New York, NY 10011"
824,CanyonAccess,75,163 3rd Ave. #277,"New York, NY  10003"
827,DealLanes,6,163 3rd Ave. #277,"New York, NY  10003"
832,HeliosSource,53,"217 E. 86th Street, #341","New York, NY  10028"
836,PathsVision,76,"217 E. 86th Street, #341","New York, NY  10028"
837,PlanSilver,61,"217 E. 86th Street, #341","New York, NY  10028"
843,VarietyTechnology,5,"101 W. 23rd Street, #399","New York, NY 10011"
844,WatchLanes,6,163 3rd Ave. #277,"New York, NY  10003"
846,WinQuests,16,527 Third Ave. #110,"New York, NY 10016"
1060,NetworkVast,87,163 3rd Ave. #277,"New York, NY  10003"
1064,TrailsSync,5,"101 W. 23rd Street, #399","New York, NY 10011"
1067,Metropolis4U,23,"1202 Lexington Avenue, Suite 214","New York, NY 10025"
1068,LeaderInternet,9,"1202 Lexington Avenue, Suite 214","New York, NY 10025"
1069,ConnectionSender,9,"1202 Lexington Avenue, Suite 214","New York, NY 10025"
1071,JunctionPlanet,15,"1562 First Avenue, PMB 309","New York, NY 10028"
1079,ExpressDeluxe,51,163 3rd Ave. #277,"New York, NY  10003"
1080,AdviceSender,27,163 3rd Ave. #277,"New York, NY  10003"
1081,ComfortInternet,27,163 Third Avenue #277,"New York, NY 10003"
1082,AccessSender,6,163 3rd Ave. #277,"New York, NY  10003"
1083,GenerationWays,9,163 3rd Ave. #277,"New York, NY  10003"
1084,GenerationCentral,9,163 3rd Ave. #277,"New York, NY  10003"
1091,QuicknessMedia,4,"217 E. 86th Street, #341","New York, NY  10028"
1092,HeliosPro,53,"217 E. 86th Street, #341","New York, NY  10028"
1094,DolphinNetwork,39,"217 E. 86th Street, #341","New York, NY  10028"
1095,PathsCentral,76,"217 E. 86th Street, #341","New York, NY  10028"
1096,DeluxeMailer,56,"217 E. 86th Street, #341","New York, NY  10028"
1099,SilverMailer,61,"217 E. 86th Street, #341","New York, NY  10028"
1101,InteractiveSender,15,527 Third Ave. #110,"New York, NY 10016"
1106,VarietyLife,5,"954 Third Avenue, Ste #716","New York, NY 10022"
1109,BeyondAction,93,163 3rd Ave. #277,"New York, NY  10003"
1236,QueryChief,21,"217 E. 86th Street, #341","New York, NY  10028"
1237,DailySilver,61,"217 E. 86th Street, #341","New York, NY  10028"
1238,Horizon2U,78,163 Third Ave. #277,"New York, NY 10003"
1240,MetroChief,23,527 Third Ave. #110,"New York, NY 10016"
1243,DailyLane,6,163 Third Ave. #277,"New York, NY 10003"
1256,InitiateDomains,104,"101 W. 23rd Street, #399","New York, NY 10011"
1257,Action2You,93,163 3rd Ave. #277,"New York, NY  10003"
1263,EvolveService,9,163 3rd Ave. #277,"New York, NY  10003"
1265,PhalanxServices,51,163 3rd Ave. #277,"New York, NY  10003"
1267,ThunderNetworks,87,163 3rd Ave. #277,"New York, NY  10003"
1279,DomainSerious,105,"101 W. 23rd Street, #399","New York, NY 10011"
1281,DolphinConnect,39,"217 E. 86th Street, #341","New York, NY  10028"
1282,SynergyInstantly,57,"217 E. 86th Street, #341","New York, NY  10028"
1284,SilverSelects,61,"217 E. 86th Street, #341","New York, NY  10028"
1285,PathsWorldwide,76,"217 E. 86th Street, #341","New York, NY  10028"
1288,JunctionSite,15,"1562 First Avenue,  PMB 309","New York, NY  10028"
1290,AccelerationSpaces,16,"1562 First Avenue,  PMB 309","New York, NY  10028"
1291,DriveForYou,24,"1562 First Avenue,  PMB 309","New York, NY  10028"
1292,PerformVenue,56,"954 Lexington Ave, #117","New York, NY  10021"
1293,AgreeWizard,46,"954 Lexington Ave, #117","New York, NY  10021"
1294,PanoramaWorks,78,163 Third Ave. #277,"New York, NY  10003"
1296,MetroesDepot,23,527 Third Ave. #110,"New York, NY  10016"
1298,Blaze2UOnline,29,"101 W. 23rd Street,  #399","New York, NY  10011"
1301,TrailsMethod,5,"101 W. 23rd Street,  #399","New York, NY  10011"
1330,MyHorizonForYou,78,163 3rd Ave. #277,"New York, NY  10003"
1338,SilverContainer,61,"217 E. 86th Street, #341","New York, NY  10028"
1361,WorldWideFrontier,77,527 Third Ave. #110,"New York, NY 10016"
1362,SenseServices,9,163 3rd Ave. #277,"New York, NY  10003"
1367,CrateFactory,29,"101 W. 23rd Street, #399","New York, NY 10011"
1369,TrailMethod,5,"101 W. 23rd Street, #399","New York, NY 10011"
1374,WizardSource,46,"217 E. 86th Street, #341","New York, NY  10028"
